ID,score,COLPREP,DIS_COH,LOGDTA,LOGDTU,NSQG,NSQM,NSQU,NWF_MEDIAN,SVF,WORDLN_2
145,2,0.425766234,0.049367962,3.96081317,1.386294361,-0.224462285,-0.207019668,-0.138013112,-59.82926999,3.040280201,4.861904762
146,2,0.567967742,-0.066399652,3.688879454,1.945910149,-0.134872652,-0.179284291,-0.05976143,-57.87718004,4.136552222,4.942857143
147,2,0.023809524,-0.063765341,2.63905733,1.098612289,-0.284564036,-0.15430335,0,-60.29385543,1.180601655,4.714285714
148,2,0.624122222,0.21302347,3.688879454,2.302585093,-0.152888462,-0.122474487,-0.1,-58.44492393,4.491736448,5.0575
149,1,0.530992678,0.076395798,3.681351188,2.302585093,-0.131639715,-0.141954688,-0.122936366,-56.85053464,3.485177527,5.037783375
150,1,0.571856685,-0.129662392,3.306886702,2.302585093,-0.145572791,0,0,-63.18419437,3.233162208,4.509157509
151,3,0.587637198,0.583960701,4.413471467,2.197224577,-0.148628661,-0.146745768,-0.097063202,-56.17521569,4.477101353,5.908479139
152,1,0.553304938,-0.563376935,3.823191792,2.772588722,-0.146806758,-0.152394369,-0.104541675,-60.68586219,4.191139605,4.908469945
153,2,0.987018519,-0.696044488,2.890371758,1.098612289,-0.244460337,-0.136082763,0,-61.75236727,2.801177905,4.777777778
154,2,0.641997415,-0.558656736,4.279440046,1.609437912,-0.150909012,-0.105263158,-0.074432293,-61.88277985,3.558756224,4.376731302
155,2,0.556529279,-0.207589586,3.898599985,1.791759469,-0.137796062,-0.058123819,0,-55.93713531,3.907131883,5.179054054
156,3,0.560739024,0.148752498,3.682037922,2.397895273,-0.157939182,-0.19723489,-0.135302018,-57.09809878,3.770924413,5.029748284
157,3,0.585490974,0.459921305,4.413471467,2.197224577,-0.136318891,-0.137268096,-0.073372884,-57.91852767,3.566466394,5.100942127
158,2,0.507585071,-0.326999958,4.509026325,1.791759469,-0.133357686,-0.095782629,-0.074192905,-61.38287383,4.341011249,4.456880734
159,1,0.530763529,-0.863034586,4.204692619,2.48490665,-0.120084368,-0.1496264,-0.061084722,-63.6691812,3.860927034,4.73880597
160,2,0.615608205,-0.698006497,4.378896742,2.079441542,-0.15261223,-0.104746297,-0.039590379,-57.195633,4.402313951,4.985893417
161,2,0.709243839,-0.157934432,4.008631044,2.63905733,-0.142377627,-0.156981911,-0.072028241,-57.195633,3.793128949,5.128404669
162,1,0.769377049,-0.205418438,2.858110896,1.945910149,-0.183893023,-0.202444083,-0.12803688,-58.21729977,3.255726572,4.62295082
163,2,0.568349431,-1.660183232,4.293878248,2.48490665,-0.134831657,-0.130632486,-0.089238977,-65.83028546,4.333110841,4.503981797
164,2,0.567125572,0.181546625,4.121743536,2.48490665,-0.14713013,-0.180090068,-0.110282193,-60.8609989,3.721879342,4.860810811
165,3,0.667776829,-0.470811618,4.173104396,2.48490665,-0.140350883,-0.124114321,-0.087762078,-60.7618792,3.78613663,4.961489089
166,2,0.708697712,-0.284025949,3.883035469,1.945910149,-0.148602801,-0.108465229,-0.054232614,-63.92106217,3.549501944,4.282352941
167,2,0.517143638,0.19098754,3.887730313,2.302585093,-0.132344417,-0.119767534,-0.078406256,-63.92153733,3.53674666,4.745901639
168,3,0.60838963,-0.449050764,3.401197382,2.197224577,-0.173058312,-0.121716124,-0.105409255,-64.79315833,3.027824107,4.377777778
169,2,0.554235515,0.328144543,4.165372399,2.48490665,-0.161938819,-0.176204045,-0.134578062,-58.81534114,4.490104223,5.235446313
170,3,0.567351976,0.130202555,4.069026754,1.791759469,-0.113442289,-0.184900065,-0.053376051,-55.82796055,2.930229143,4.854700855
171,3,0.60475529,-0.172915616,4.156928049,2.079441542,-0.13388913,-0.076621417,-0.044237396,-56.84008079,4.397227942,5.140900196
172,2,0.6952125,-0.318063437,4.153185062,2.397895273,-0.116179302,-0.09258201,-0.037796447,-58.28761342,4.287008812,4.578571429
173,3,0.665978299,0.561906047,4.352426165,2.197224577,-0.159110696,-0.160471409,-0.05349047,-55.25264441,3.461248271,5.559370529
